stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id,alias,stop_area,authority,lest_x,lest_y,kommentaar,kovde_oigusakt
964,04703-1,Pidu,59.3831928,24.6621512,,,,0,,,,,Harju1,,Nõmme,Tallinna linn,6582987.459,537633.42,,
26165,6700487-1,Linnamaa,58.708389,24.797709,,,,0,,,,,,,Kaisma vald,Pärnumaa,6507909.243,546231.423,,
33503,7820094-1,Kivilinna,58.3801481,26.7638494,Sõpruse pst. suunas,,,0,,,,,TartuLinn,,Tartu linn,Tartu linn,6474405.5,661644.0,,
9904,7000563-1,Urke,59.0566181,25.1382647,,,,0,,,,,Rapla2,,Rapla vald,Raplamaa,6546976.499,565308.625,,Kaiu VV määrus 26.08.2015 nr 7-3/402-3
133687,23807-1,Kiisa kauplus,59.2344,24.69091,,,,0,,,,,Harju3,,Saku vald,Harjumaa,6566429.319,539438.599,,Saku VV korraldus 26.11.2019 nr 625
23316,7000228-1,Kõrgemäe,59.04539,24.4791401,,,,0,,,,,Rapla4,,Märjamaa vald,Raplamaa,6545269.879,527500.969,,Märjamaa VV määrus 07.10.2015 nr 882
119504,6701197-1,Väljaotsa,58.2682001,24.579074,,,,0,,,,,,,Häädemeeste vald,Pärnumaa,6458753.0,533984.0,,
20716,8401159-1,Ületee,58.2303159,25.6028643,Viljandi suunas,,,0,,,,,,,Viljandi vald,Viljandimaa,,,,
26620,5900309-1,Kunda rand,59.520096,26.541725,,,,0,,,,,Viru3,,Viru-Nigula vald,Lääne-Virumaa,6600779.262,643849.137,post olemas (03.2026),Viru-Nigula VV määrus 22.01.2026 nr 1
26219,4400812-1,Uusküla,59.002854,27.33616,Vasknarva suunas,,,0,,,,,,,Alutaguse vald,Ida-Virumaa,6545200.309,691642.202,,
25409,8400838-1,Saate,58.1172958,25.4304893,Abja-Paluoja suunas,,,0,,,,,,,Mulgi vald,Viljandimaa,,,,
25821,5900276-1,Koovälja,59.3710656,26.4476631,,,,0,,,,,Viru1,,Rakvere vald,Lääne-Virumaa,6583989.499,639133.812,,Sõmeru VV määrus 20.01.2016 nr 41
24003,7400790-1,Tõlli,58.2915466,22.3819759,,,,0,,,,,,,Saaremaa vald,Saaremaa,6462351.05,405114.08,,
31199,6700363-1,Kuuda,58.4744682,24.6120396,,,,0,,,,,,,Tori vald,Pärnumaa,6481742.989,535708.98,,
153668,22412-1,Vanakubja,59.15584,25.0704575,,,,0,,,,,Harju4B,,Kose vald,Harjumaa,6557963.637,561242.105,lisatud Pikasesse 6.12.21,Kose VV korraldus 07.12.2021 nr 906
23905,7000427-1,Purila küla,59.078056,24.8599449,,,,0,,,,,Rapla1,,Rapla vald,Raplamaa,6549126.449,549310.26,,Rapla VV määrus 23.11.2015 nr 473
